model,task,n_bootstrap,n_samples_mean,clean_f1_macro_mean,masked_f1_macro_mean,drop_f1_macro_mean,pdi_f1_macro_mean,clean_f1_weighted_mean,masked_f1_weighted_mean,drop_f1_weighted_mean,pdi_f1_weighted_mean
v5_no_occ_original_mediapipe_seed42,hands,5000,6054.0,0.7100017991004905,0.705880696017451,0.004121103083039536,0.5783007861672419,0.9462393668378157,0.9443993509191289,0.0018400159186868863,0.19441167994275593
v5_no_occ_original_mediapipe_seed42,talk,5000,5944.0,0.7533982820527625,0.7496439532796495,0.003754328773113046,0.49799839137197915,0.7916565929212477,0.7898622487930347,0.0017943441282128106,0.22642626900692475
v5_occ_attention_bias_mediapipe,action,5000,5944.0,0.8801908656995651,0.8705873615535223,0.009603504146042675,1.090409244377704,0.9194853519868226,0.908156802272223,0.01132854971459968,1.2318733756579994
v5_occ_attention_bias_mediapipe,gaze,5000,372.0,0.5115805294360817,0.5012910488033516,0.010289480632730058,1.9198437550141025,0.5901816218196795,0.5330484007279801,0.057133221091699285,9.612993600987284
v5_occ_attention_bias_mediapipe,hands,5000,6054.0,0.6936077105154059,0.6851552497964338,0.008452460718972071,1.215244700373957,0.9301585637494545,0.9259802696928444,0.004178294056610025,0.44915666410807736
v5_occ_attention_bias_mediapipe,talk,5000,5944.0,0.739588544645914,0.7254627794619135,0.01412576518400052,1.909604727749661,0.7767179210495194,0.7634623331686952,0.013255587880824198,1.7063720428568958
v5_occ_token_region_transformer_mediapipe,action,5000,5944.0,0.8813685870245719,0.8694988698889472,0.0118697171356247,1.3459005626696312,0.9212192775817201,0.909372959072578,0.01184631850914205,1.2857247197858666
v5_occ_token_region_transformer_mediapipe,gaze,5000,372.0,0.517148026439346,0.4408751039172849,0.07627292252206105,14.670435242178069,0.5673036870703505,0.4897610768577368,0.07754261021261374,13.625548714566243
v5_occ_token_region_transformer_mediapipe,hands,5000,6054.0,0.7111108945493093,0.7098897229801298,0.0012211715691795592,0.171668332650888,0.9498025420808021,0.949018822575519,0.0007837195052830766,0.08245330458905824
v5_occ_token_region_transformer_mediapipe,talk,5000,5944.0,0.7420722592026832,0.7353053801679907,0.006766879034692438,0.9114960273965309,0.7846580661609334,0.778923461899268,0.005734604261665326,0.7305895626127267
v5_task_gated_late_mediapipe,action,5000,5944.0,0.8808380450004082,0.8677962354575212,0.013041809542887015,1.4798551404362588,0.9375328536161658,0.9298347876452769,0.007698065970888917,0.8209362721971895
v5_task_gated_late_mediapipe,gaze,5000,372.0,0.474137623549646,0.476571497164357,-0.0024338736147108855,-0.6394655279966983,0.5489538565009472,0.5502852543096839,-0.0013313978087366232,-0.35052704064361945
v5_task_gated_late_mediapipe,hands,5000,6054.0,0.7013577885741763,0.6993441470783536,0.002013641495822639,0.2869790492899106,0.9464708343633207,0.9443050212636473,0.0021658130996731937,0.22875959055325065
v5_task_gated_late_mediapipe,talk,5000,5944.0,0.7503447901309095,0.7389420749459178,0.011402715184991783,1.518407376332991,0.7951002519429742,0.785226556810758,0.009873695132216163,1.2410510329342226
v5_task_region_gated_late_mediapipe,action,5000,5944.0,0.9042756680524173,0.9004411202781294,0.00383454777428812,0.4233811486454008,0.9319732062722261,0.9253502180411939,0.006622988231032309,0.7104634468182986
v5_task_region_gated_late_mediapipe,gaze,5000,372.0,0.4768702871485173,0.48097848339730226,-0.004108196248785008,-0.923002393159318,0.5560118176698137,0.5390441730288285,0.016967644640985158,2.995251287695378
v5_task_region_gated_late_mediapipe,hands,5000,6054.0,0.7066959427487483,0.7129183905641434,-0.006222447815395142,-0.8807434990694978,0.9515695051909763,0.9507188618514294,0.0008506433395469945,0.08930111629670724
v5_task_region_gated_late_mediapipe,talk,5000,5944.0,0.7463330776168908,0.7382963106830983,0.00803676693379259,1.0763533051461995,0.7865183762981766,0.7781095776807526,0.008408798617423972,1.0688099753626084
v5_task_region_scalar_gated_late_mediapipe,action,5000,5944.0,0.9014795469005957,0.8850998831863748,0.016379663714220914,1.816604491674649,0.941025131506607,0.9282289694360301,0.012796162070577075,1.359718231912342
v5_task_region_scalar_gated_late_mediapipe,gaze,5000,372.0,0.47862669281696196,0.4057401305804779,0.07288656223648414,15.176982784476149,0.5542794396423335,0.4689684696900951,0.08531096995223833,15.349188082341483
v5_task_region_scalar_gated_late_mediapipe,hands,5000,6054.0,0.7091602894122853,0.7066390724886016,0.002521216923683569,0.3554287900378211,0.9527442777045358,0.9519904195248038,0.0007538581797321289,0.07905053329411142
v5_task_region_scalar_gated_late_mediapipe,talk,5000,5944.0,0.7540526323346001,0.7528805407574515,0.0011720915771486434,0.15418074999727804,0.7986010984287052,0.7956107655465483,0.0029903328821568225,0.37371388551461293
