model,task,clean_f1_macro_mean,clean_f1_macro_std,clean_f1_macro_ci_low,clean_f1_macro_ci_high,masked_f1_macro_mean,masked_f1_macro_std,masked_f1_macro_ci95_low,masked_f1_macro_ci95_high,drop_f1_macro_mean,drop_f1_macro_std,drop_f1_macro_ci_low,drop_f1_macro_ci_high,pdi_f1_macro_mean,pdi_f1_macro_std,pdi_f1_macro_ci95_low,pdi_f1_macro_ci95_high,clean_f1_weighted_mean,clean_f1_weighted_std,clean_f1_weighted_ci_low,clean_f1_weighted_ci_high,masked_f1_weighted_mean,masked_f1_weighted_std,masked_f1_weighted_ci_low,masked_f1_weighted_ci_high,drop_f1_weighted_mean,drop_f1_weighted_std,drop_f1_weighted_ci_low,drop_f1_weighted_ci_high,pdi_f1_weighted_mean,pdi_f1_weighted_std,pdi_f1_weighted_ci_low,pdi_f1_weighted_ci_high,clean_acc_mean,clean_acc_std,clean_acc_ci_low,clean_acc_ci_high,masked_acc_mean,masked_acc_std,masked_acc_ci_low,masked_acc_ci_high,drop_acc_mean,drop_acc_std,drop_acc_ci_low,drop_acc_ci_high
v5_task_region_gated_late_mediapipe,hands,0.7066959427487483,0.002533647494662088,0.701550898106687,0.7115724758131815,0.7129183905641434,0.006717183887621698,0.7027949720217969,0.7279651275570184,-0.006222447815395113,0.006406244382522581,-0.021095070121783605,0.0022205112975697346,-0.8807434990694979,0.90666817480704,-2.986272488022747,0.3130428797253367,0.9515695051909765,0.002676765882732131,0.9463599698335069,0.9566885361598744,0.9507188618514294,0.002679687664585659,0.9454735076583632,0.9558452618560892,0.00085064333954697,0.001305976890424684,-0.0016788411473711874,0.003468188697500217,0.08930111629670723,0.13718138732276494,-0.1771173482481625,0.3628872160178506,0.946684539147671,0.0029019283225391566,0.9408655434423522,0.9522629666336306,0.9466719524281467,0.0028734046735133948,0.9411959035348528,0.9522629666336306,1.2586719524281759e-05,0.0014705834516335948,-0.002808060786257,0.0029732408325073
v5_occ_token_region_transformer_mediapipe,hands,0.7111108945493093,0.003451065530586058,0.704776309428146,0.7183845048296128,0.7098897229801298,0.003563677175850534,0.7035829338094879,0.7174319547291071,0.0012211715691795245,0.0011944571037461266,-0.0011416931731417575,0.003543196132961967,0.17166833265088796,0.16788688685776795,-0.16010448216001974,0.49804809983673787,0.9498025420808021,0.002634513528388366,0.9446705688088431,0.9548320009053102,0.949018822575519,0.00267401687650415,0.9438630659481099,0.9541769186023643,0.0007837195052830514,0.0011466912897299365,-0.00146846492092106,0.003010566242437349,0.0824533045890582,0.12069027680713981,-0.15512592132925196,0.31649535397691925,0.9367945160224644,0.0031191399092809886,0.9306243805748264,0.9428477039973572,0.936609382226627,0.0031353752095958725,0.9306243805748264,0.9428477039973572,0.0001851337958374559,0.001404281663251178,-0.0024777006937561,0.0029732408325073
v5_task_gated_late_mediapipe,hands,0.7013577885741762,0.0026957861330536145,0.6959694416661704,0.7065742410401952,0.6993441470783536,0.002742471591314133,0.6938805697844936,0.7048744955577076,0.002013641495822594,0.0012432530924496388,-0.00040638197612926995,0.004505032017049495,0.2869790492899106,0.17706908672853064,-0.05786576134392103,0.6420106304540028,0.9464708343633205,0.0028633981163367706,0.9407262748434866,0.9520077259436631,0.9443050212636473,0.0029070641335259767,0.9386213069119921,0.9499415526632526,0.002165813099673147,0.001248128487108588,-0.00024367000423072499,0.004623781930580487,0.22875959055325065,0.13174888289222483,-0.025835254083910943,0.4887311826328085,0.9458977865873803,0.002907703552837836,0.9400396432111,0.9514370664023786,0.9432818632309218,0.002966755172751041,0.9373967624710936,0.9491245457548728,0.0026159233564584917,0.001408542360402979,-0.0001651800462504,0.0054509415262635
v5_task_region_scalar_gated_late_mediapipe,hands,0.7091602894122853,0.002451433123735287,0.7042968398255297,0.7139690520873098,0.7066390724886016,0.002566783305466501,0.7014745525175331,0.7116192188690789,0.0025212169236835218,0.0012465787905995365,4.664582014391193e-05,0.004961522010474952,0.355428790037821,0.1756174310396295,0.006599768783809034,0.7004155079523884,0.9527442777045358,0.0026880278561364633,0.9474068606442432,0.957954343482339,0.9519904195248038,0.0027208307788573983,0.9466989449905489,0.957311881978779,0.0007538581797321057,0.0012406420434289444,-0.0017072286543038974,0.0031313067692105043,0.07905053329411141,0.13018592720107008,-0.1792834295231458,0.32844719932804806,0.9495419557317477,0.0028104265692158346,0.94400396432111,0.9549099768747934,0.950541493227618,0.002797750466395813,0.9449950445986124,0.9558969276511398,-0.0009995374958704682,0.0013955989236997626,-0.0037991410637594,0.0016518004625041
v5_no_occ_original_mediapipe_seed42,hands,0.7100017991004905,0.005735179726230692,0.7000166903414636,0.7221019002521091,0.705880696017451,0.00516455438858949,0.6975244466562452,0.71732437034888,0.004121103083039501,0.003971277134604322,-0.0019043760261016399,0.01312351521489102,0.5783007861672419,0.5548128393341013,-0.26872357988897877,1.819343191357179,0.9462393668378157,0.002764624550396581,0.940807717570202,0.9516273760431658,0.9443993509191289,0.0028201729806919466,0.9387351522984566,0.949817845168952,0.0018400159186868412,0.0010618727649071942,-0.00017907157447008247,0.003927815223067998,0.19441167994275585,0.11214529735669511,-0.018964357138757496,0.41484925438099196,0.9376528906508094,0.003121282527561829,0.931615460852329,0.9436736042286092,0.9378497852659399,0.00308462443891139,0.9317806408985796,0.9438387842748596,-0.0001968946151304855,0.0012755692880951307,-0.0026428807400066,0.0023125206475057
v5_task_region_scalar_gated_late_mediapipe,talk,0.7540526323346001,0.006126281867075626,0.7422952935854729,0.7663390211983002,0.7528805407574515,0.006057595933685831,0.7409488807404611,0.7646593945349496,0.0011720915771486302,0.003687804621487246,-0.006305750261600047,0.008370539689722645,0.15418074999727807,0.48869787845345125,-0.8371493317276183,1.1113592778902188,0.7986010984287052,0.005035090939157844,0.7888825712823854,0.8087310235113154,0.7956107655465484,0.005002353158843119,0.7857811989860207,0.8054602568553566,0.002990332882156788,0.003034911207768832,-0.0031359594748944,0.008971810094612547,0.37371388551461293,0.3792881404373553,-0.39399960929196964,1.1175280118514905,0.7908441453566621,0.0053201697092110384,0.7804508748317631,0.8014804845222072,0.7865691790040377,0.005337673571121609,0.7760767160161507,0.7972745625841184,0.004274966352624453,0.003179198908878328,-0.0021870794078061,0.0105989232839838
v5_no_occ_original_mediapipe_seed42,talk,0.7533982820527625,0.005971037544890181,0.7418513435210112,0.7653532947478492,0.7496439532796495,0.006022251932735088,0.7380858942877773,0.7614978237574839,0.0037543287731130006,0.0021475845783084104,-0.00043083504239028493,0.007992902365894396,0.49799839137197915,0.2844577679711083,-0.05733334508231916,1.0552730288318428,0.7916565929212476,0.004979867338307481,0.782062826967734,0.8015080772898084,0.7898622487930348,0.005009560044232917,0.7800870778631402,0.799769568824844,0.0017943441282127761,0.0018164969511880035,-0.0017703065793497,0.005379946133523835,0.22642626900692472,0.22920414391520436,-0.22389405924397457,0.6784055567722452,0.7804610363391655,0.005391525924644046,0.7698519515477793,0.7910497981157469,0.7791023216689098,0.005401446925027985,0.7688383243606999,0.7897039030955586,0.0013587146702556947,0.0019200187456069689,-0.0023553162853298,0.0052153432032301
v5_occ_token_region_transformer_mediapipe,talk,0.7420722592026832,0.00606799149437735,0.7303621848646917,0.7539695126635173,0.7353053801679907,0.006140238884489388,0.7232133762397329,0.7471989564247695,0.006766879034692389,0.002425868356809987,0.002033789689766685,0.011527342599560555,0.9114960273965309,0.32575652142080724,0.27727606248137726,1.5482926915758681,0.7846580661609334,0.005073327905890508,0.7749439894829367,0.7946309378244155,0.778923461899268,0.005152303469670388,0.7691245912940442,0.7890849705495998,0.005734604261665275,0.0020690195147012023,0.0017162550640893053,0.009802441387946054,0.7305895626127267,0.26293954143249815,0.21749149682840846,1.241629797927329,0.7741324024226109,0.005439225497334953,0.7636271870794078,0.7848250336473755,0.7680792395693137,0.005526676588321646,0.7574024226110363,0.7789367429340511,0.006053162853297395,0.002201314075022801,0.001850605652759,0.0104306864064602
v5_explicit_region_scalar_mask_gate_medipipe,talk,0.7542489418030899,0.005968444817837196,0.7426632964894495,0.7661301004553865,0.7467103167554165,0.0059991739405812735,0.7350367693475297,0.7585827466679154,0.007538625047673388,0.0028997378549122346,0.0018949582263972976,0.013215705278994155,0.9988434003962495,0.3827334696030743,0.2523137407068213,1.746481827335696,0.7936863166326827,0.00498797814503141,0.7840701092880483,0.8037690137829987,0.7862992327229166,0.005018013431656493,0.7764831276661608,0.7962938366728706,0.0073870839097662806,0.002511071451573663,0.002504645767408575,0.012305998872024722,0.9302911359339092,0.31504599744203976,0.31624193405052914,1.5485592301782822,0.7831053162853298,0.005375971810800372,0.7727119784656796,0.7939140309555854,0.7749236877523553,0.0054250697058969505,0.764300134589502,0.7856662180349933,0.008181628532974381,0.0026811125082185964,0.0030282637954239,0.0134589502018842
v5_task_region_gated_late_mediapipe,talk,0.7463330776168909,0.006028901198134954,0.7345968277802714,0.7584876804947078,0.7382963106830983,0.006038246708264711,0.7264408911182473,0.7503365078388923,0.008036766933792539,0.002498128572721066,0.0032543255627922847,0.012997946878537604,1.0763533051461995,0.33315699233708207,0.44048288762854043,1.733263450694374,0.7865183762981766,0.005047633353404309,0.7767277545716662,0.7964122919612936,0.7781095776807525,0.005087602763428458,0.768219255702303,0.7882211447056752,0.008408798617423921,0.0021773996544080334,0.004250653628029945,0.012658710652099631,1.0688099753626084,0.27558573744781245,0.5440129231789919,1.600877431036539,0.7753596231493943,0.005443459387847304,0.7648048452220727,0.7861709286675639,0.7659137617765814,0.005506818151098178,0.7553835800807537,0.7769179004037685,0.009445861372812874,0.002327763239232237,0.0050471063257065,0.0139636608344548
